"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge"
323 2 2 1 1 37 10 1 1 1 1 37
324 2 2 1 1 51 1 1 1 1 1 56
325 2 1 1 1 66 1 1 2 1 1 66
326 2 2 1 1 67 1 1 1 1 1 72
327 2 2 1 1 42 1 1 1 1 1 57
327 3 2 1 1 16 2 1 1 1 1 57
327 4 2 1 1 15 2 1 1 1 1 57
328 2 2 1 5 16 2 1 1 1 5 43
328 3 2 1 5 62 4 1 1 1 5 43
329 2 2 1 2 66 1 1 1 3 2 69
329 3 1 1 2 42 2 1 1 3 2 69
330 2 2 1 1 30 1 2 1 1 1 43
330 3 1 1 1 1 2 2 1 1 1 43
331 2 2 1 1 55 1 1 1 1 1 54
331 3 2 1 1 24 2 1 1 1 1 54
332 2 2 1 1 85 1 1 1 1 1 85
333 2 1 8 1 18 2 1 2 1 1 51
333 3 2 8 1 16 2 1 2 1 1 51
334 2 2 1 1 41 1 1 1 1 1 43
334 3 2 1 1 10 2 1 1 1 1 43
334 4 1 1 1 8 2 1 1 1 1 43
335 2 2 1 1 25 1 2 1 1 1 29
336 2 2 1 1 22 10 2 2 1 1 22
337 2 2 1 1 33 1 1 1 1 1 35
338 2 2 1 1 68 10 2 1 1 1 62
339 2 1 1 2 43 1 2 2 1 2 33
339 3 2 1 2 7 2 2 2 1 2 33
340 2 2 1 1 66 1 1 1 1 1 66
341 2 1 1 1 68 1 1 2 1 1 58
342 2 2 1 5 17 2 2 1 1 5 45
342 3 2 1 5 13 2 2 1 1 5 45
343 2 1 2 1 48 1 1 2 1 1 54
343 3 2 8 1 18 2 1 2 1 1 54
344 2 1 1 1 65 1 1 2 1 1 64
345 2 1 1 1 87 1 1 2 1 1 79
346 2 2 1 1 18 2 2 2 1 1 37
346 3 2 1 1 17 2 2 2 1 1 37
346 4 1 1 1 9 2 2 2 1 1 37
347 2 2 1 1 61 1 1 1 1 1 63
348 2 2 1 1 68 1 1 1 1 1 69
349 2 1 1 2 17 2 2 1 1 2 52
349 3 1 1 2 13 2 2 1 1 2 52
350 2 1 1 1 74 1 1 2 1 1 69
