"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
342 2 2 1 1 38 2 1 1 1 1 53 1
343 2 2 1 1 26 7 1 2 1 1 37 1
344 2 2 1 1 63 2 1 1 1 1 59 1
345 2 2 7 5 25 7 2 2 7 5 29 1
345 3 1 7 2 27 11 2 2 7 5 29 1
346 2 2 1 1 66 2 1 1 1 1 68 1
347 2 1 1 1 10 9 2 2 1 1 59 1
348 2 1 3 1 44 3 1 2 2 1 65 1
349 2 2 1 1 36 12 1 1 1 1 39 1
350 2 2 1 1 67 2 1 1 1 1 70 1
351 2 1 2 1 69 11 1 2 2 1 69 1
352 2 2 1 1 88 2 1 1 1 1 91 1
353 2 2 1 1 64 2 1 1 1 1 64 1
354 2 2 2 1 95 2 2 1 2 1 90 1
355 2 2 7 2 64 2 1 1 1 1 76 1
356 2 2 1 1 43 2 2 1 1 1 50 1
356 3 1 1 1 15 3 2 1 1 1 50 1
357 2 1 1 1 75 2 1 2 1 1 75 1
358 2 1 1 5 38 2 1 2 1 5 37 1
359 2 2 1 1 58 2 1 1 1 1 66 1
360 2 2 1 1 66 2 1 1 1 1 66 1
361 2 2 1 1 38 11 2 1 1 1 41 1
362 2 1 2 1 40 3 1 2 2 1 56 1
362 3 1 2 1 31 3 1 2 2 1 56 1
363 2 2 1 1 59 2 1 1 1 1 76 1
364 2 1 2 1 39 3 1 2 2 1 67 1
364 3 2 8 1 13 9 1 2 2 1 67 1
365 2 2 1 1 42 2 1 1 1 1 38 1
365 3 2 1 1 59 5 1 1 1 1 38 1
366 2 1 1 1 65 12 1 1 1 1 55 1
367 2 1 7 2 47 11 2 1 1 1 50 1
368 2 2 1 1 65 2 1 1 1 1 67 1
369 2 2 1 1 45 2 2 1 1 1 57 1
369 3 1 1 1 14 3 2 1 1 1 57 1
370 2 2 2 1 59 2 1 1 2 1 65 1
370 3 2 2 1 50 10 1 1 2 1 65 1
371 2 2 1 1 56 2 1 1 1 1 52 1
372 2 1 1 2 12 3 2 2 1 2 26 1
372 3 1 1 2 6 3 2 2 1 2 26 1
373 2 1 1 1 57 2 1 2 1 1 55 1
374 2 1 1 1 50 2 1 2 1 1 51 1
374 3 1 1 1 28 3 1 2 1 1 51 1
375 2 2 1 1 30 2 2 1 1 1 29 1
376 2 2 1 1 53 11 2 1 1 1 48 1
377 2 1 1 1 6 3 2 2 1 1 37 1
377 3 2 1 1 28 7 2 2 1 1 37 1
378 2 2 1 1 65 2 1 1 1 1 66 1
378 3 2 1 1 41 3 1 1 1 1 66 1
379 2 2 1 1 62 2 1 1 1 1 70 1
380 2 2 2 1 34 11 2 2 1 1 31 1
381 2 2 1 1 57 2 1 1 1 1 64 1
382 2 2 1 1 56 2 1 1 1 1 56 1
382 3 2 1 1 20 3 1 1 1 1 56 1
383 2 2 1 1 51 2 2 1 1 1 53 1
383 3 2 1 1 11 3 2 1 1 1 53 1
384 2 1 1 1 19 3 2 2 1 1 37 1
384 3 2 1 1 9 3 2 2 1 1 37 1
385 2 2 1 1 79 2 1 1 1 1 83 1
386 2 1 1 1 73 2 1 2 1 1 61 1
386 3 1 1 1 36 3 1 2 1 1 61 1
387 2 1 2 1 24 3 1 2 2 1 59 1
387 3 2 2 1 26 4 1 2 2 1 59 1
388 2 2 1 1 94 5 1 2 1 1 64 1
389 2 2 1 1 57 2 1 1 1 1 63 1
390 2 1 1 1 71 2 1 2 1 1 83 1
390 3 1 1 1 65 12 1 2 1 1 83 1
391 2 2 1 1 63 2 1 1 1 1 65 1
