"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner"
257 2 1 1 5 75 7 2
257 3 2 1 5 32 10 2
257 4 1 1 5 13 10 2
258 1 2 2 1 43 1 2
258 2 2 2 1 21 3 2
258 3 2 2 1 16 3 2
258 4 1 2 1 5 3 2
259 1 1 2 1 59 1 2
259 2 2 2 1 9 3 2
260 1 2 1 1 55 1 1
260 2 1 1 1 56 2 1
261 1 1 1 2 81 1 1
261 2 2 1 2 73 2 1
262 1 1 1 1 29 1 1
262 2 1 1 1 2 3 1
262 3 2 1 1 24 11 1
263 1 1 1 1 58 1 1
263 2 2 1 1 55 2 1
264 1 1 1 1 74 1 1
264 2 2 1 1 71 2 1
265 1 2 1 1 46 1 1
265 2 1 1 1 48 2 1
265 3 1 1 1 11 3 1
265 4 1 1 1 8 3 1
266 1 2 4 1 44 1 1
266 2 1 1 5 43 2 1
266 3 1 8 5 13 3 1
266 4 2 8 5 10 3 1
267 1 1 1 1 31 1 1
267 2 1 8 2 10 3 1
267 3 1 1 1 5 3 1
267 4 2 1 1 27 11 1
268 1 2 1 1 86 1 1
268 2 2 1 1 88 7 1
269 1 2 1 4 58 1 1
269 2 1 1 4 62 2 1
269 3 1 1 4 35 10 1
269 4 1 1 4 54 12 1
270 1 1 1 1 71 1 1
270 2 2 1 1 66 2 1
271 1 2 1 1 48 1 1
271 2 2 1 1 12 3 1
271 3 1 1 1 10 3 1
272 1 1 1 1 56 1 1
272 2 2 1 1 53 2 1
272 3 1 1 1 27 3 1
273 1 2 2 1 31 1 1
273 2 1 2 1 31 2 1
273 3 1 2 1 1 3 1
274 1 1 6 1 82 1 1
274 2 2 6 1 23 9 1
274 3 1 6 1 21 9 1
274 4 1 6 1 20 9 1
274 5 2 6 1 60 4 1
274 6 1 6 1 71 11 1
275 1 1 1 1 23 1 1
275 2 2 1 1 49 10 1
276 1 2 1 1 54 1 1
276 2 2 1 2 21 3 1
276 3 1 1 1 62 11 1
277 1 1 6 1 36 1 1
277 2 2 1 1 37 2 1
277 3 2 6 1 4 3 1
278 1 1 1 1 69 1 1
278 2 2 1 1 72 2 1
279 1 2 1 5 37 1 2
279 2 2 1 5 2 3 2
279 3 1 1 1 38 7 2
280 1 1 1 1 50 1 1
280 2 1 1 1 22 3 1
281 1 1 1 1 34 1 2
281 2 2 1 1 35 2 2
281 3 2 1 1 5 3 2
281 4 2 1 1 3 3 2
282 1 1 8 1 37 1 1
282 2 2 7 3 42 2 1
282 3 1 9 3 7 3 1
282 4 1 9 3 3 3 1
282 5 2 6 1 69 5 1
283 1 2 1 4 81 1 1
283 2 1 1 4 84 2 1
283 3 2 1 4 50 3 1
283 4 1 1 4 25 9 1
284 1 1 1 1 23 1 2
284 2 1 1 1 25 11 2
284 3 1 8 1 24 11 2
284 4 1 1 1 24 11 2
285 1 1 8 1 46 1 1
285 2 2 1 1 43 2 1
285 3 2 8 1 8 3 1
285 4 1 8 1 3 3 1
285 5 1 8 1 18 3 1
286 1 1 1 1 37 1 1
286 2 2 1 1 34 2 1
286 3 1 1 1 3 3 1
