"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
208 2 2 NA 1 68 2 1 1 1 1 69
209 2 2 1 1 57 2 NA 1 1 1 57
210 2 2 1 1 66 3 1 2 1 1 86
210 3 1 NA 1 20 8 1 2 1 1 86
210 4 1 1 1 20 13 1 2 1 1 86
211 2 2 1 1 81 2 1 1 1 1 82
212 2 2 1 1 29 2 1 1 1 1 31
212 3 2 1 1 4 3 1 1 1 1 31
212 4 2 1 1 1 3 1 1 1 1 31
213 2 2 1 1 81 2 1 1 1 1 85
214 2 1 1 1 42 8 1 2 NA 1 38
214 3 1 1 1 40 7 1 2 NA 1 38
214 4 2 NA 1 83 8 1 2 NA 1 38
215 2 2 NA NA 42 7 2 1 3 1 20
216 2 1 1 1 31 2 2 2 8 1 72
216 3 2 1 1 38 3 2 2 8 1 72
216 4 2 6 1 63 6 2 2 8 1 72
216 5 2 1 1 79 12 2 2 8 1 72
217 2 2 1 1 58 2 NA 1 1 1 58
218 2 2 1 1 70 2 1 1 1 1 72
219 2 2 1 1 31 2 1 1 1 1 31
219 3 1 1 1 3 3 1 1 1 1 31
220 2 1 1 1 46 2 2 2 NA 1 47
220 3 2 1 1 28 3 2 2 NA 1 47
220 4 1 1 NA 18 3 2 2 NA 1 47
220 5 1 NA 1 13 3 2 2 NA 1 47
221 2 2 1 1 45 2 NA 1 1 1 45
221 3 2 1 1 22 3 NA 1 1 1 45
221 4 1 NA 1 17 3 NA 1 1 1 45
221 5 1 1 1 14 3 NA 1 1 1 45
221 6 2 1 1 18 13 NA 1 1 1 45
222 2 1 2 1 22 3 2 2 NA 1 46
222 3 1 2 1 21 3 2 2 NA 1 46
223 2 2 NA 1 63 2 1 1 2 NA 67
223 3 1 2 1 15 8 1 1 2 NA 67
223 4 1 2 1 11 8 1 1 2 NA 67
224 2 2 1 1 59 2 1 1 1 1 55
225 2 1 4 1 25 6 1 1 3 1 70
225 3 1 1 NA 84 11 1 1 3 1 70
226 2 1 1 1 48 2 NA 2 1 1 49
226 3 2 1 1 21 3 NA 2 1 1 49
226 4 1 1 1 17 3 NA 2 1 1 49
227 2 1 1 1 63 2 1 2 1 1 61
228 2 1 NA 1 79 2 1 2 1 1 77
229 2 2 1 2 21 3 NA 2 1 2 40
230 2 2 1 1 23 3 NA 2 1 NA 46
230 3 1 1 1 21 3 NA 2 1 NA 46
230 4 2 1 1 21 3 NA 2 1 NA 46
230 5 2 1 1 16 3 NA 2 1 NA 46
230 6 1 1 NA 65 12 NA 2 1 NA 46
231 2 2 1 1 25 3 NA 2 1 1 57
232 2 1 NA 1 40 2 2 1 1 1 43
232 3 1 1 1 18 3 2 1 1 1 43
233 2 1 1 1 75 13 1 1 1 1 38
233 3 1 1 1 87 3 1 1 1 1 38
233 4 1 1 1 16 6 1 1 1 1 38
234 2 2 1 1 25 2 1 1 1 1 26
235 2 1 1 NA 73 8 1 2 1 1 88
235 3 1 1 1 16 5 1 2 1 1 88
236 2 1 2 1 5 3 NA 1 2 1 46
236 3 2 2 1 46 12 NA 1 2 1 46
237 2 2 1 1 46 2 1 1 8 NA 52
238 2 1 2 1 79 2 1 2 2 1 76
239 2 1 1 1 14 3 2 2 NA 1 34
239 3 1 1 1 10 3 2 2 NA 1 34
239 4 1 1 1 5 3 2 2 NA 1 34
239 5 1 1 NA 39 12 2 2 NA 1 34
239 6 1 1 1 16 13 2 2 NA 1 34
240 2 1 1 1 51 3 NA 2 1 1 90
241 2 2 7 5 47 2 1 1 7 5 46
241 3 1 7 5 23 3 1 1 7 5 46
241 4 2 NA 5 16 3 1 1 7 5 46
242 2 2 NA 1 65 2 1 1 1 1 68
243 2 2 2 1 76 9 NA 1 2 1 89
244 2 2 NA 1 54 9 1 1 1 1 86
244 3 1 1 1 47 12 1 1 1 1 86
245 2 1 2 5 45 2 NA 2 1 3 43
245 3 2 7 NA 16 3 NA 2 1 3 43
246 2 1 6 NA 45 13 NA 2 NA 1 62
247 2 2 1 NA 23 3 NA 2 1 1 43
247 3 2 1 1 7 3 NA 2 1 1 43
247 4 1 NA 1 4 3 NA 2 1 1 43
248 2 2 1 1 12 3 2 2 1 1 35
248 3 1 1 1 35 12 2 2 1 1 35
249 2 2 6 1 54 2 2 1 6 1 60
249 3 2 6 1 26 3 2 1 6 1 60
249 4 1 6 1 23 3 2 1 6 1 60
250 2 2 1 5 25 2 1 1 NA NA 26
250 3 2 1 NA 1 3 1 1 NA NA 26
251 2 2 NA NA 20 3 1 2 1 NA 53
251 3 2 1 1 13 3 1 2 1 NA 53
